CpG island 	 4714 .. 5242 	 size=529 
CpG island 	 4335668 .. 4336164 	 size=497 
CpG island 	 4348065 .. 4348397 	 size=333 
CpG island 	 4355044 .. 4355468 	 size=425 
CpG island 	 4358619 .. 4358899 	 size=281 
CpG island 	 4359591 .. 4360022 	 size=432 
CpG island 	 4386481 .. 4386805 	 size=325 
CpG island 	 4387653 .. 4387932 	 size=280 
CpG island 	 4397369 .. 4397692 	 size=324 
CpG island 	 4399038 .. 4399275 	 size=238 
CpG island 	 4400644 .. 4401026 	 size=383 
CpG island 	 4405236 .. 4405616 	 size=381 
CpG island 	 4407349 .. 4407775 	 size=427 
CpG island 	 4407974 .. 4408352 	 size=379 
CpG island 	 4417850 .. 4418245 	 size=396 
CpG island 	 4424024 .. 4424363 	 size=340 
CpG island 	 4435767 .. 4436123 	 size=357 
CpG island 	 4444178 .. 4444559 	 size=382 
CpG island 	 4450590 .. 4451042 	 size=453 
CpG island 	 4454531 .. 4454929 	 size=399 
CpG island 	 4470472 .. 4470942 	 size=471 
CpG island 	 4477314 .. 4477518 	 size=205 
CpG island 	 4479456 .. 4479660 	 size=205 
CpG island 	 4495339 .. 4495543 	 size=205 
CpG island 	 4496175 .. 4496598 	 size=424 
CpG island 	 4497877 .. 4498347 	 size=471 
CpG island 	 4502636 .. 4503019 	 size=384 
CpG island 	 4517396 .. 4517835 	 size=440 
CpG island 	 4518091 .. 4518295 	 size=205 
CpG island 	 4518515 .. 4518737 	 size=223 
CpG island 	 4532781 .. 4533022 	 size=242 
CpG island 	 4535592 .. 4535845 	 size=254 
CpG island 	 4539841 .. 4540067 	 size=227 
CpG island 	 4540296 .. 4540613 	 size=318 
CpG island 	 4549766 .. 4550000 	 size=235 
CpG island 	 4565010 .. 4565480 	 size=471 
CpG island 	 4595280 .. 4595659 	 size=380 
CpG island 	 4631747 .. 4632044 	 size=298 
CpG island 	 4632626 .. 4633159 	 size=534 
CpG island 	 4653183 .. 4653409 	 size=227 
CpG island 	 4653593 .. 4653834 	 size=242 
CpG island 	 4656145 .. 4656467 	 size=323 
CpG island 	 4677459 .. 4677888 	 size=430 
CpG island 	 4685881 .. 4686278 	 size=398 
CpG island 	 4688370 .. 4688714 	 size=345 
CpG island 	 4688723 .. 4689114 	 size=392 
CpG island 	 4689132 .. 4689335 	 size=204 
CpG island 	 4693591 .. 4693857 	 size=267 
CpG island 	 4703138 .. 4703602 	 size=465 
CpG island 	 4712227 .. 4712646 	 size=420 
CpG island 	 4729833 .. 4730041 	 size=209 
CpG island 	 4735174 .. 4735567 	 size=394 
CpG island 	 4741469 .. 4741853 	 size=385 
CpG island 	 4756527 .. 4756758 	 size=232 
CpG island 	 4762207 .. 4762536 	 size=330 
CpG island 	 4769739 .. 4770210 	 size=472 
CpG island 	 4772824 .. 4773089 	 size=266 
CpG island 	 4783309 .. 4783539 	 size=231 
CpG island 	 4789924 .. 4790166 	 size=243 
CpG island 	 4801716 .. 4801974 	 size=259 
CpG island 	 4818892 .. 4819249 	 size=358 
CpG island 	 4825135 .. 4825607 	 size=473 
CpG island 	 4829407 .. 4829804 	 size=398 
CpG island 	 4830377 .. 4830819 	 size=443 
CpG island 	 4836481 .. 4836729 	 size=249 
CpG island 	 4837688 .. 4838036 	 size=349 
CpG island 	 4846702 .. 4846930 	 size=229 
CpG island 	 4856351 .. 4856852 	 size=502 
CpG island 	 4858192 .. 4858543 	 size=352 
CpG island 	 4858558 .. 4858957 	 size=400 
CpG island 	 4862492 .. 4862886 	 size=395 
CpG island 	 4888897 .. 4889097 	 size=201 
CpG island 	 4889421 .. 4889762 	 size=342 
CpG island 	 4889859 .. 4890106 	 size=248 
CpG island 	 4896690 .. 4897128 	 size=439 
CpG island 	 4898299 .. 4898719 	 size=421 
CpG island 	 4899155 .. 4899360 	 size=206 
CpG island 	 4900881 .. 4901328 	 size=448 
CpG island 	 4907855 .. 4908195 	 size=341 
CpG island 	 4910708 .. 4910911 	 size=204 
CpG island 	 4911180 .. 4911615 	 size=436 
CpG island 	 4911769 .. 4911984 	 size=216 
CpG island 	 4912007 .. 4912240 	 size=234 
CpG island 	 4919444 .. 4919742 	 size=299 
CpG island 	 4921143 .. 4921351 	 size=209 
CpG island 	 4921597 .. 4922006 	 size=410 
CpG island 	 4922835 .. 4923075 	 size=241 
CpG island 	 4926032 .. 4926402 	 size=371 
CpG island 	 4930824 .. 4931221 	 size=398 
CpG island 	 4933417 .. 4933767 	 size=351 
CpG island 	 4940462 .. 4940795 	 size=334 
CpG island 	 4942265 .. 4942464 	 size=200 
CpG island 	 4942945 .. 4943312 	 size=368 
CpG island 	 4943369 .. 4943694 	 size=326 
CpG island 	 4948143 .. 4948529 	 size=387 
CpG island 	 4951528 .. 4951945 	 size=418 
CpG island 	 4958650 .. 4958898 	 size=249 
CpG island 	 4961252 .. 4961582 	 size=331 
CpG island 	 4965755 .. 4966069 	 size=315 
CpG island 	 4972517 .. 4972720 	 size=204 
CpG island 	 4977914 .. 4978230 	 size=317 
CpG island 	 4988109 .. 4988335 	 size=227 
CpG island 	 4990722 .. 4991388 	 size=667 
CpG island 	 5003441 .. 5003721 	 size=281 
CpG island 	 5004238 .. 5004472 	 size=235 
CpG island 	 5019402 .. 5019656 	 size=255 
CpG island 	 5023910 .. 5024172 	 size=263 
CpG island 	 5027051 .. 5027317 	 size=267 
CpG island 	 5041603 .. 5041919 	 size=317 
CpG island 	 5043718 .. 5044045 	 size=328 
CpG island 	 5044180 .. 5044456 	 size=277 
CpG island 	 5056185 .. 5056491 	 size=307 
CpG island 	 5069703 .. 5070057 	 size=355 
CpG island 	 5071838 .. 5072274 	 size=437 
CpG island 	 5072697 .. 5073139 	 size=443 
CpG island 	 5091382 .. 5091654 	 size=273 
CpG island 	 5096493 .. 5096831 	 size=339 
CpG island 	 5096855 .. 5097361 	 size=507 
CpG island 	 5098523 .. 5098888 	 size=366 
CpG island 	 5103460 .. 5103743 	 size=284 
CpG island 	 5119118 .. 5119382 	 size=265 
CpG island 	 5120654 .. 5120857 	 size=204 
CpG island 	 5143843 .. 5144140 	 size=298 
CpG island 	 5205598 .. 5206277 	 size=680 
CpG island 	 5208522 .. 5208723 	 size=202 
CpG island 	 5216857 .. 5217261 	 size=405 
CpG island 	 5219667 .. 5219893 	 size=227 
CpG island 	 5224298 .. 5224695 	 size=398 
CpG island 	 5227447 .. 5227752 	 size=306 
CpG island 	 5228116 .. 5228506 	 size=391 
CpG island 	 5247039 .. 5247510 	 size=472 
CpG island 	 5254519 .. 5254880 	 size=362 
CpG island 	 5276516 .. 5276890 	 size=375 
CpG island 	 5279654 .. 5279966 	 size=313 
CpG island 	 5283061 .. 5283453 	 size=393 
CpG island 	 5290916 .. 5291214 	 size=299 
CpG island 	 5293676 .. 5293938 	 size=263 
CpG island 	 5301111 .. 5301310 	 size=200 
CpG island 	 5302002 .. 5302358 	 size=357 
CpG island 	 5303549 .. 5303771 	 size=223 
CpG island 	 5305473 .. 5305737 	 size=265 
CpG island 	 5306431 .. 5306930 	 size=500 
CpG island 	 5310692 .. 5310977 	 size=286 
CpG island 	 5325156 .. 5325416 	 size=261 
CpG island 	 5330117 .. 5330458 	 size=342 
CpG island 	 5332943 .. 5333439 	 size=497 
CpG island 	 5336880 .. 5337140 	 size=261 
CpG island 	 5343106 .. 5343448 	 size=343 
CpG island 	 5346253 .. 5346594 	 size=342 
CpG island 	 5352007 .. 5352212 	 size=206 
CpG island 	 5357824 .. 5358169 	 size=346 
CpG island 	 5368105 .. 5368498 	 size=394 
CpG island 	 5383423 .. 5383898 	 size=476 
CpG island 	 5415395 .. 5415836 	 size=442 
CpG island 	 5419720 .. 5419931 	 size=212 
CpG island 	 5422279 .. 5422478 	 size=200 
CpG island 	 5428825 .. 5429204 	 size=380 
CpG island 	 5437383 .. 5437686 	 size=304 
CpG island 	 5455032 .. 5455458 	 size=427 
CpG island 	 5456316 .. 5456661 	 size=346 
CpG island 	 5457638 .. 5457998 	 size=361 
CpG island 	 5462158 .. 5462357 	 size=200 
CpG island 	 5468812 .. 5469294 	 size=483 
CpG island 	 5495391 .. 5495791 	 size=401 
CpG island 	 5510507 .. 5510718 	 size=212 
CpG island 	 5511389 .. 5511762 	 size=374 
CpG island 	 5513400 .. 5513636 	 size=237 
CpG island 	 5533420 .. 5533622 	 size=203 
CpG island 	 5548130 .. 5548393 	 size=264 
CpG island 	 5552167 .. 5552370 	 size=204 
CpG island 	 5552749 .. 5553127 	 size=379 
CpG island 	 5569372 .. 5569721 	 size=350 
CpG island 	 5586784 .. 5587053 	 size=270 
CpG island 	 5593481 .. 5593735 	 size=255 
CpG island 	 5596654 .. 5596987 	 size=334 
CpG island 	 5609023 .. 5609474 	 size=452 
CpG island 	 5614436 .. 5614939 	 size=504 
CpG island 	 5621816 .. 5622242 	 size=427 
CpG island 	 5647949 .. 5648151 	 size=203 
CpG island 	 5671733 .. 5672106 	 size=374 
CpG island 	 5672929 .. 5673345 	 size=417 
CpG island 	 5678654 .. 5679049 	 size=396 
CpG island 	 5679928 .. 5680282 	 size=355 
CpG island 	 5681331 .. 5681748 	 size=418 
CpG island 	 5685495 .. 5685797 	 size=303 
CpG island 	 5685813 .. 5686055 	 size=243 
CpG island 	 5686203 .. 5686591 	 size=389 
CpG island 	 5689666 .. 5690025 	 size=360 
CpG island 	 5694276 .. 5694501 	 size=226 
CpG island 	 5701633 .. 5701857 	 size=225 
CpG island 	 5706178 .. 5706382 	 size=205 
CpG island 	 5708921 .. 5709229 	 size=309 
CpG island 	 5710748 .. 5711116 	 size=369 
CpG island 	 5732031 .. 5732324 	 size=294 
CpG island 	 5732429 .. 5732825 	 size=397 
CpG island 	 5763575 .. 5763958 	 size=384 
CpG island 	 5765243 .. 5765704 	 size=462 
CpG island 	 5767705 .. 5767909 	 size=205 
CpG island 	 5774492 .. 5774828 	 size=337 
CpG island 	 5788049 .. 5788492 	 size=444 
CpG island 	 5792460 .. 5792707 	 size=248 
CpG island 	 5796208 .. 5796580 	 size=373 
CpG island 	 5796805 .. 5797021 	 size=217 
CpG island 	 5804824 .. 5805221 	 size=398 
CpG island 	 5812001 .. 5812425 	 size=425 
CpG island 	 5812718 .. 5813002 	 size=285 
CpG island 	 5813445 .. 5813844 	 size=400 
CpG island 	 5835988 .. 5836204 	 size=217 
CpG island 	 5863270 .. 5863638 	 size=369 
CpG island 	 5875411 .. 5875713 	 size=303 
CpG island 	 5875761 .. 5876049 	 size=289 
CpG island 	 5896292 .. 5896548 	 size=257 
CpG island 	 5920945 .. 5921193 	 size=249 
CpG island 	 5922355 .. 5922689 	 size=335 
CpG island 	 5925204 .. 5925508 	 size=305 
CpG island 	 5925751 .. 5926036 	 size=286 
CpG island 	 5926142 .. 5926752 	 size=611 
CpG island 	 5928137 .. 5928479 	 size=343 
CpG island 	 5929157 .. 5929373 	 size=217 
CpG island 	 5943064 .. 5943410 	 size=347 
CpG island 	 5947264 .. 5947760 	 size=497 
CpG island 	 5948764 .. 5949104 	 size=341 
CpG island 	 5950427 .. 5950696 	 size=270 
CpG island 	 5954693 .. 5954916 	 size=224 
CpG island 	 5962198 .. 5962589 	 size=392 
CpG island 	 5973232 .. 5973431 	 size=200 
CpG island 	 5984005 .. 5984210 	 size=206 
CpG island 	 5997979 .. 5998247 	 size=269 
CpG island 	 6022355 .. 6022559 	 size=205 
CpG island 	 6027989 .. 6028212 	 size=224 
CpG island 	 6031162 .. 6031471 	 size=310 
CpG island 	 6056030 .. 6056299 	 size=270 
CpG island 	 6073299 .. 6073632 	 size=334 
CpG island 	 6080300 .. 6080499 	 size=200 
CpG island 	 6085318 .. 6085679 	 size=362 
CpG island 	 6090168 .. 6090432 	 size=265 
CpG island 	 6091058 .. 6091506 	 size=449 
CpG island 	 6103225 .. 6103440 	 size=216 
CpG island 	 6104738 .. 6105213 	 size=476 
CpG island 	 6105411 .. 6105741 	 size=331 
CpG island 	 6116563 .. 6116893 	 size=331 
CpG island 	 6124343 .. 6124700 	 size=358 
CpG island 	 6129803 .. 6130064 	 size=262 
CpG island 	 6131674 .. 6132191 	 size=518 
CpG island 	 6137425 .. 6137678 	 size=254 
CpG island 	 6147833 .. 6148590 	 size=758 
CpG island 	 6166302 .. 6166640 	 size=339 
CpG island 	 6167246 .. 6167580 	 size=335 
CpG island 	 6177991 .. 6178308 	 size=318 
CpG island 	 6180874 .. 6181228 	 size=355 
CpG island 	 6190570 .. 6190916 	 size=347 
CpG island 	 6196410 .. 6196803 	 size=394 
CpG island 	 6198772 .. 6198973 	 size=202 
CpG island 	 6205220 .. 6205589 	 size=370 
CpG island 	 6209760 .. 6210108 	 size=349 
CpG island 	 6219777 .. 6220572 	 size=796 
CpG island 	 6224878 .. 6225217 	 size=340 
CpG island 	 6228921 .. 6229126 	 size=206 
CpG island 	 6229982 .. 6230305 	 size=324 
CpG island 	 6238970 .. 6239427 	 size=458 
CpG island 	 6244475 .. 6244677 	 size=203 
CpG island 	 6245349 .. 6245726 	 size=378 
CpG island 	 6246348 .. 6246746 	 size=399 
CpG island 	 6252473 .. 6252850 	 size=378 
CpG island 	 6253139 .. 6253395 	 size=257 
CpG island 	 6258124 .. 6258574 	 size=451 
CpG island 	 6270862 .. 6271073 	 size=212 
CpG island 	 6275258 .. 6275622 	 size=365 
CpG island 	 6278343 .. 6278590 	 size=248 
CpG island 	 6278693 .. 6278998 	 size=306 
CpG island 	 6279974 .. 6280182 	 size=209 
CpG island 	 6288506 .. 6288734 	 size=229 
CpG island 	 6289120 .. 6289396 	 size=277 
CpG island 	 6293255 .. 6293663 	 size=409 
CpG island 	 6296762 .. 6296984 	 size=223 
CpG island 	 6299201 .. 6299639 	 size=439 
CpG island 	 6301440 .. 6301825 	 size=386 
CpG island 	 6306102 .. 6306326 	 size=225 
CpG island 	 6306660 .. 6306873 	 size=214 
CpG island 	 6309092 .. 6309294 	 size=203 
CpG island 	 6311607 .. 6312130 	 size=524 
CpG island 	 6312583 .. 6313041 	 size=459 
CpG island 	 6313274 .. 6313606 	 size=333 
CpG island 	 6314937 .. 6315270 	 size=334 
CpG island 	 6317728 .. 6318051 	 size=324 
CpG island 	 6319703 .. 6319987 	 size=285 
CpG island 	 6322774 .. 6322981 	 size=208 
CpG island 	 6327432 .. 6327713 	 size=282 
CpG island 	 6338701 .. 6339372 	 size=672 
CpG island 	 6346798 .. 6347035 	 size=238 
CpG island 	 6353888 .. 6354276 	 size=389 
CpG island 	 6356932 .. 6357214 	 size=283 
CpG island 	 6365727 .. 6366138 	 size=412 
CpG island 	 6369275 .. 6369715 	 size=441 
CpG island 	 6373407 .. 6373738 	 size=332 
CpG island 	 6376984 .. 6377195 	 size=212 
CpG island 	 6377229 .. 6377630 	 size=402 
CpG island 	 6384391 .. 6384774 	 size=384 
CpG island 	 6386006 .. 6386563 	 size=558 
CpG island 	 6404333 .. 6404878 	 size=546 
CpG island 	 6404934 .. 6405316 	 size=383 
CpG island 	 6405541 .. 6405911 	 size=371 
CpG island 	 6411034 .. 6411391 	 size=358 
CpG island 	 6414354 .. 6414695 	 size=342 
CpG island 	 6421730 .. 6421996 	 size=267 
CpG island 	 6443552 .. 6443935 	 size=384 
CpG island 	 6472002 .. 6472375 	 size=374 
CpG island 	 6474927 .. 6475128 	 size=202 
CpG island 	 6475714 .. 6476357 	 size=644 
CpG island 	 6482038 .. 6482339 	 size=302 
CpG island 	 6487909 .. 6488108 	 size=200 
CpG island 	 6508675 .. 6508889 	 size=215 
CpG island 	 6511553 .. 6511863 	 size=311 
CpG island 	 6512369 .. 6512954 	 size=586 
CpG island 	 6513028 .. 6513368 	 size=341 
CpG island 	 6516800 .. 6517029 	 size=230 
CpG island 	 6529965 .. 6530227 	 size=263 
CpG island 	 6531673 .. 6532023 	 size=351 
CpG island 	 6532901 .. 6533274 	 size=374 
CpG island 	 6545918 .. 6546166 	 size=249 
CpG island 	 6562481 .. 6562771 	 size=291 
CpG island 	 6572398 .. 6572722 	 size=325 
CpG island 	 6582928 .. 6583303 	 size=376 
CpG island 	 6596425 .. 6596884 	 size=460 
CpG island 	 6605287 .. 6605662 	 size=376 
CpG island 	 6609488 .. 6609881 	 size=394 
CpG island 	 6624546 .. 6624760 	 size=215 
CpG island 	 6641093 .. 6641493 	 size=401 
CpG island 	 6656242 .. 6656638 	 size=397 
CpG island 	 6656990 .. 6657304 	 size=315 
CpG island 	 6664563 .. 6664890 	 size=328 
CpG island 	 6673855 .. 6674440 	 size=586 
CpG island 	 6695789 .. 6696184 	 size=396 
CpG island 	 6702272 .. 6702569 	 size=298 
CpG island 	 6703078 .. 6703283 	 size=206 
CpG island 	 6706094 .. 6706430 	 size=337 
CpG island 	 6708561 .. 6708816 	 size=256 
CpG island 	 6723599 .. 6723854 	 size=256 
CpG island 	 6733837 .. 6734056 	 size=220 
CpG island 	 6738124 .. 6738336 	 size=213 
CpG island 	 6739285 .. 6739734 	 size=450 
CpG island 	 6743757 .. 6743993 	 size=237 
CpG island 	 6744832 .. 6745206 	 size=375 
CpG island 	 6758365 .. 6758751 	 size=387 
CpG island 	 6777800 .. 6778038 	 size=239 
CpG island 	 6787931 .. 6788187 	 size=257 
CpG island 	 6788914 .. 6789233 	 size=320 
CpG island 	 6804603 .. 6804883 	 size=281 
CpG island 	 6818607 .. 6819347 	 size=741 
CpG island 	 6820561 .. 6820798 	 size=238 
CpG island 	 6822266 .. 6822543 	 size=278 
CpG island 	 6822816 .. 6823333 	 size=518 
CpG island 	 6823977 .. 6824372 	 size=396 
CpG island 	 6829355 .. 6829555 	 size=201 
CpG island 	 6831129 .. 6831587 	 size=459 
CpG island 	 6843587 .. 6843817 	 size=231 
CpG island 	 6873465 .. 6873726 	 size=262 
CpG island 	 6880450 .. 6880661 	 size=212 
CpG island 	 6900722 .. 6900922 	 size=201 
CpG island 	 6901935 .. 6902228 	 size=294 
CpG island 	 6906681 .. 6907099 	 size=419 
CpG island 	 6910277 .. 6910506 	 size=230 
CpG island 	 6912054 .. 6912490 	 size=437 
CpG island 	 6915280 .. 6915607 	 size=328 
CpG island 	 6917416 .. 6917645 	 size=230 
CpG island 	 6919548 .. 6919934 	 size=387 
CpG island 	 6921757 .. 6922204 	 size=448 
CpG island 	 6932761 .. 6933137 	 size=377 
CpG island 	 6934381 .. 6934763 	 size=383 
CpG island 	 6935070 .. 6935420 	 size=351 
CpG island 	 6950527 .. 6950802 	 size=276 
CpG island 	 6955743 .. 6956080 	 size=338 
CpG island 	 6963771 .. 6964106 	 size=336 
CpG island 	 6970224 .. 6970508 	 size=285 
CpG island 	 6995382 .. 6995581 	 size=200 
CpG island 	 7023271 .. 7023500 	 size=230 
CpG island 	 7024718 .. 7024987 	 size=270 
CpG island 	 7038709 .. 7038942 	 size=234 
CpG island 	 7054197 .. 7054397 	 size=201 
CpG island 	 7060136 .. 7060396 	 size=261 
CpG island 	 7060663 .. 7061006 	 size=344 
CpG island 	 7070166 .. 7070371 	 size=206 
CpG island 	 7075264 .. 7075617 	 size=354 
CpG island 	 7086789 .. 7087083 	 size=295 
CpG island 	 7088788 .. 7088998 	 size=211 
CpG island 	 7092309 .. 7092682 	 size=374 
CpG island 	 7150460 .. 7150663 	 size=204 
CpG island 	 7193174 .. 7193446 	 size=273 
CpG island 	 7196070 .. 7196282 	 size=213 
CpG island 	 7199025 .. 7199283 	 size=259 
CpG island 	 7203136 .. 7203539 	 size=404 
CpG island 	 7207589 .. 7208019 	 size=431 
CpG island 	 7208591 .. 7208921 	 size=331 
CpG island 	 7210965 .. 7211210 	 size=246 
CpG island 	 7214920 .. 7215365 	 size=446 
CpG island 	 7226477 .. 7226833 	 size=357 
CpG island 	 7238494 .. 7238769 	 size=276 
CpG island 	 7243793 .. 7244013 	 size=221 
CpG island 	 7252484 .. 7252743 	 size=260 
CpG island 	 7257835 .. 7258951 	 size=1117 
CpG island 	 7260516 .. 7260932 	 size=417 
CpG island 	 7262816 .. 7263100 	 size=285 
CpG island 	 7268020 .. 7268236 	 size=217 
CpG island 	 7270777 .. 7271130 	 size=354 
CpG island 	 7274255 .. 7274653 	 size=399 
CpG island 	 7274694 .. 7275057 	 size=364 
CpG island 	 7278275 .. 7278565 	 size=291 
CpG island 	 7290869 .. 7291526 	 size=658 
CpG island 	 7291826 .. 7292613 	 size=788 
CpG island 	 7292916 .. 7293253 	 size=338 
CpG island 	 7300346 .. 7300577 	 size=232 
CpG island 	 7301181 .. 7301434 	 size=254 
CpG island 	 7302301 .. 7302539 	 size=239 
CpG island 	 7302731 .. 7302997 	 size=267 
CpG island 	 7306578 .. 7306841 	 size=264 
CpG island 	 7311199 .. 7311735 	 size=537 
CpG island 	 7316432 .. 7316735 	 size=304 
CpG island 	 7317278 .. 7317629 	 size=352 
CpG island 	 7318078 .. 7318456 	 size=379 
CpG island 	 7319492 .. 7319946 	 size=455 
CpG island 	 7321039 .. 7321285 	 size=247 
CpG island 	 7325151 .. 7325353 	 size=203 
CpG island 	 7334392 .. 7334668 	 size=277 
CpG island 	 7338304 .. 7338514 	 size=211 
CpG island 	 7339189 .. 7339636 	 size=448 
CpG island 	 7340584 .. 7340831 	 size=248 
CpG island 	 7341530 .. 7341995 	 size=466 
CpG island 	 7342252 .. 7342612 	 size=361 
CpG island 	 7344432 .. 7344692 	 size=261 
CpG island 	 7344845 .. 7345047 	 size=203 
CpG island 	 7346496 .. 7346710 	 size=215 
CpG island 	 7355985 .. 7356421 	 size=437 
CpG island 	 7356436 .. 7356763 	 size=328 
CpG island 	 7357830 .. 7358303 	 size=474 
CpG island 	 7358628 .. 7358908 	 size=281 
CpG island 	 7359526 .. 7360114 	 size=589 
CpG island 	 7366691 .. 7367176 	 size=486 
CpG island 	 7367306 .. 7367593 	 size=288 
CpG island 	 7369392 .. 7369970 	 size=579 
CpG island 	 7371430 .. 7371674 	 size=245 
CpG island 	 7376760 .. 7376980 	 size=221 
CpG island 	 7386567 .. 7386833 	 size=267 
CpG island 	 7388372 .. 7388597 	 size=226 
CpG island 	 7391033 .. 7391384 	 size=352 
CpG island 	 7391854 .. 7392120 	 size=267 
CpG island 	 7392541 .. 7392768 	 size=228 
CpG island 	 7394481 .. 7394688 	 size=208 
CpG island 	 7395448 .. 7395662 	 size=215 
CpG island 	 7396040 .. 7396430 	 size=391 
CpG island 	 7404525 .. 7404742 	 size=218 
CpG island 	 7407216 .. 7407468 	 size=253 
CpG island 	 7411143 .. 7411756 	 size=614 
CpG island 	 7412891 .. 7413106 	 size=216 
CpG island 	 7417823 .. 7418071 	 size=249 
CpG island 	 7418247 .. 7418476 	 size=230 
CpG island 	 7418482 .. 7418889 	 size=408 
CpG island 	 7419228 .. 7419544 	 size=317 
CpG island 	 7421926 .. 7422311 	 size=386 
CpG island 	 7424586 .. 7424854 	 size=269 
CpG island 	 7426227 .. 7426575 	 size=349 
CpG island 	 7426795 .. 7427506 	 size=712 
CpG island 	 7429339 .. 7429568 	 size=230 
CpG island 	 7431549 .. 7431884 	 size=336 
CpG island 	 7432255 .. 7432520 	 size=266 
CpG island 	 7433443 .. 7433784 	 size=342 
CpG island 	 7434291 .. 7434497 	 size=207 
CpG island 	 7441200 .. 7441579 	 size=380 
CpG island 	 7443261 .. 7443466 	 size=206 
CpG island 	 7445176 .. 7445545 	 size=370 
CpG island 	 7446822 .. 7447272 	 size=451 
CpG island 	 7454775 .. 7455088 	 size=314 
CpG island 	 7464316 .. 7464616 	 size=301 
CpG island 	 7466894 .. 7467234 	 size=341 
CpG island 	 7472991 .. 7473221 	 size=231 
CpG island 	 7480860 .. 7481086 	 size=227 
CpG island 	 7487283 .. 7487691 	 size=409 
CpG island 	 7498475 .. 7498694 	 size=220 
CpG island 	 7504167 .. 7504566 	 size=400 
CpG island 	 7515592 .. 7515973 	 size=382 
CpG island 	 7516243 .. 7517302 	 size=1060 
CpG island 	 7537091 .. 7537500 	 size=410 
CpG island 	 7539112 .. 7539435 	 size=324 
CpG island 	 7566729 .. 7567011 	 size=283 
CpG island 	 7583470 .. 7583818 	 size=349 
CpG island 	 7599233 .. 7599624 	 size=392 
CpG island 	 7599765 .. 7600034 	 size=270 
CpG island 	 7629601 .. 7630138 	 size=538 
CpG island 	 7645440 .. 7645728 	 size=289 
CpG island 	 7646273 .. 7646705 	 size=433 
CpG island 	 7687933 .. 7688137 	 size=205 
CpG island 	 7724353 .. 7724717 	 size=365 
CpG island 	 7741535 .. 7741815 	 size=281 
CpG island 	 7745580 .. 7745782 	 size=203 
CpG island 	 7757489 .. 7757706 	 size=218 
CpG island 	 7771130 .. 7771337 	 size=208 
CpG island 	 7772299 .. 7772768 	 size=470 
CpG island 	 7775454 .. 7775662 	 size=209 
CpG island 	 7780376 .. 7780747 	 size=372 
CpG island 	 7780877 .. 7781218 	 size=342 
CpG island 	 7781608 .. 7781856 	 size=249 
CpG island 	 7781922 .. 7782194 	 size=273 
CpG island 	 7792093 .. 7792633 	 size=541 
CpG island 	 7802134 .. 7802469 	 size=336 
CpG island 	 7802534 .. 7802791 	 size=258 
CpG island 	 7802814 .. 7803092 	 size=279 
CpG island 	 7803266 .. 7803534 	 size=269 
CpG island 	 7814615 .. 7814819 	 size=205 
CpG island 	 7849233 .. 7849432 	 size=200 
CpG island 	 7850779 .. 7850979 	 size=201 
CpG island 	 7855642 .. 7855883 	 size=242 
CpG island 	 7857829 .. 7858300 	 size=472 
CpG island 	 7864817 .. 7865145 	 size=329 
CpG island 	 7869353 .. 7869595 	 size=243 
CpG island 	 7873433 .. 7873823 	 size=391 
CpG island 	 7892143 .. 7892527 	 size=385 
CpG island 	 7906949 .. 7907324 	 size=376 
CpG island 	 7910632 .. 7911072 	 size=441 
CpG island 	 7911528 .. 7911827 	 size=300 
CpG island 	 7915955 .. 7916325 	 size=371 
CpG island 	 7920208 .. 7920624 	 size=417 
CpG island 	 7925208 .. 7925409 	 size=202 
CpG island 	 7927314 .. 7927555 	 size=242 
CpG island 	 7928699 .. 7929075 	 size=377 
CpG island 	 7930457 .. 7930782 	 size=326 
CpG island 	 7939686 .. 7939885 	 size=200 
CpG island 	 7941301 .. 7941751 	 size=451 
CpG island 	 7942291 .. 7942529 	 size=239 
CpG island 	 7947885 .. 7948147 	 size=263 
CpG island 	 7950424 .. 7950731 	 size=308 
CpG island 	 7955821 .. 7956111 	 size=291 
CpG island 	 7956227 .. 7956434 	 size=208 
CpG island 	 7973076 .. 7973411 	 size=336 
CpG island 	 7982647 .. 7983042 	 size=396 
CpG island 	 7992752 .. 7993083 	 size=332 
CpG island 	 8007723 .. 8008079 	 size=357 
CpG island 	 8013453 .. 8013902 	 size=450 
CpG island 	 8014994 .. 8015437 	 size=444 
CpG island 	 8016825 .. 8017166 	 size=342 
CpG island 	 8032867 .. 8033068 	 size=202 
CpG island 	 8034965 .. 8035415 	 size=451 
CpG island 	 8036666 .. 8036866 	 size=201 
CpG island 	 8037606 .. 8037820 	 size=215 
CpG island 	 8050073 .. 8050272 	 size=200 
CpG island 	 8054119 .. 8054408 	 size=290 
CpG island 	 8063368 .. 8063594 	 size=227 
CpG island 	 8068188 .. 8068596 	 size=409 
CpG island 	 8069985 .. 8070479 	 size=495 
CpG island 	 8070979 .. 8071259 	 size=281 
CpG island 	 8071784 .. 8072285 	 size=502 
CpG island 	 8076961 .. 8077360 	 size=400 
CpG island 	 8081105 .. 8081422 	 size=318 
CpG island 	 8082043 .. 8082304 	 size=262 
CpG island 	 8124213 .. 8124520 	 size=308 
CpG island 	 8141644 .. 8142030 	 size=387 
CpG island 	 8146782 .. 8147013 	 size=232 
CpG island 	 8147152 .. 8147573 	 size=422 
CpG island 	 8150394 .. 8150703 	 size=310 
CpG island 	 8152670 .. 8153057 	 size=388 
CpG island 	 8161301 .. 8161594 	 size=294 
CpG island 	 8170338 .. 8170720 	 size=383 
